"company_name","contact_name","address","order_date","ship_city","ship_country","phone"
"Vins et alcools Chevalier","Paul Henriot","59 rue de l'Abbaye","1996-07-04","Reims","France","26.47.15.10"
"Toms Spezialitäten","Karin Josephs","Luisenstr. 48","1996-07-05","Münster","Germany","0251-031259"
"Hanari Carnes","Mario Pontes","Rua do Paço, 67","1996-07-08","Rio de Janeiro","Brazil","(21) 555-0091"
"Victuailles en stock","Mary Saveley","2, rue du Commerce","1996-07-08","Lyon","France","78.32.54.86"
"Suprêmes délices","Pascale Cartrain","Boulevard Tirou, 255","1996-07-09","Charleroi","Belgium","(071) 23 67 22 20"
"Hanari Carnes","Mario Pontes","Rua do Paço, 67","1996-07-10","Rio de Janeiro","Brazil","(21) 555-0091"
"Chop-suey Chinese","Yang Wang","Hauptstr. 29","1996-07-11","Bern","Switzerland","0452-076545"
"Richter Supermarkt","Michael Holz","Grenzacherweg 237","1996-07-12","Genève","Switzerland","0897-034214"
"Wellington Importadora","Paula Parente","Rua do Mercado, 12","1996-07-15","Resende","Brazil","(14) 555-8122"
"HILARION-Abastos","Carlos Hernández","Carrera 22 con Ave. Carlos Soublette #8-35","1996-07-16","San Cristóbal","Venezuela","(5) 555-1340"
"Ernst Handel","Roland Mendel","Kirchgasse 6","1996-07-17","Graz","Austria","7675-3425"
"Centro comercial Moctezuma","Francisco Chang","Sierras de Granada 9993","1996-07-18","México D.F.","Mexico","(5) 555-3392"
"Ottilies Käseladen","Henriette Pfalzheim","Mehrheimerstr. 369","1996-07-19","Köln","Germany","0221-0644327"
"Que Delícia","Bernardo Batista","Rua da Panificadora, 12","1996-07-19","Rio de Janeiro","Brazil","(21) 555-4252"
"Rattlesnake Canyon Grocery","Paula Wilson","2817 Milton Dr.","1996-07-22","Albuquerque","USA","(505) 555-5939"
"Ernst Handel","Roland Mendel","Kirchgasse 6","1996-07-23","Graz","Austria","7675-3425"
"Folk och fä HB","Maria Larsson","Åkergatan 24","1996-07-24","Bräcke","Sweden","0695-34 67 21"
"Blondesddsl père et fils","Frédérique Citeaux","24, place Kléber","1996-07-25","Strasbourg","France","88.60.15.31"
"Wartian Herkku","Pirkko Koskitalo","Torikatu 38","1996-07-26","Oulu","Finland","981-443655"
"Frankenversand","Peter Franken","Berliner Platz 43","1996-07-29","München","Germany","089-0877310"
"GROSELLA-Restaurante","Manuel Pereira","5ª Ave. Los Palos Grandes","1996-07-30","Caracas","Venezuela","(2) 283-2951"
"White Clover Markets","Karl Jablonski","305 - 14th Ave. S. Suite 3B","1996-07-31","Seattle","USA","(206) 555-4112"
"Wartian Herkku","Pirkko Koskitalo","Torikatu 38","1996-08-01","Oulu","Finland","981-443655"
"Split Rail Beer & Ale","Art Braunschweiger","P.O. Box 555","1996-08-01","Lander","USA","(307) 555-4680"
"Rattlesnake Canyon Grocery","Paula Wilson","2817 Milton Dr.","1996-08-02","Albuquerque","USA","(505) 555-5939"
"QUICK-Stop","Horst Kloss","Taucherstraße 10","1996-08-05","Cunewalde","Germany","0372-035188"
"Vins et alcools Chevalier","Paul Henriot","59 rue de l'Abbaye","1996-08-06","Reims","France","26.47.15.10"
